Date,Close,High,Low,Open,Volume
,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS,HEROMOTOCO.NS
2022-11-17,2519.76708984375,2539.1429395765153,2504.339899557716,2517.0122424423175,517393
2022-11-18,2500.62109375,2515.2678801107295,2481.75056626645,2511.5028318932846,469583
2022-11-21,2458.655517578125,2500.0241904341588,2447.2229449061647,2493.137071452247,467604
2022-11-22,2466.00146484375,2470.9603243953975,2449.059199136551,2451.6304347348077,361527
2022-11-23,2441.57568359375,2477.0672149963502,2432.3009400265364,2471.0983783337083,264132
2022-11-24,2454.660888671875,2461.5937417662153,2429.591733133709,2447.222711205699,498023
2022-11-25,2486.8466796875,2494.7439989174745,2445.8454554584314,2454.569139268026,423634
2022-11-28,2556.039306640625,2574.8640976541446,2490.4280676778562,2497.682409660701,1223958
2022-11-29,2597.132568359375,2606.039864072262,2546.48937644961,2555.717936534312,731879
2022-11-30,2618.849853515625,2627.2063142015218,2589.6486484595694,2600.5301619089273,1379225
2022-12-01,2637.12353515625,2648.326535997565,2595.617214034797,2621.696345448352,782249
2022-12-02,2589.9697265625,2630.8792551055553,2583.128567054774,2630.8792551055553,526214
2022-12-05,2596.58154296875,2601.4025263193716,2558.0136761637773,2580.373945761261,397713
2022-12-06,2570.089111328125,2594.1480680415057,2551.0347494124217,2591.393220535621,339117
2022-12-07,2534.046630859375,2573.027679886884,2526.195270295795,2564.8090959829333,340800
2022-12-08,2532.806640625,2551.72334900907,2520.914927585864,2525.276769278254,190468
2022-12-09,2526.654296875,2554.891483729046,2507.967158337842,2536.296263117845,254995
2022-12-12,2544.973876953125,2548.1419065996547,2512.466767570384,2526.195045498715,166357
2022-12-13,2533.95458984375,2585.0111863194293,2523.348382172356,2556.406552042636,440848
2022-12-14,2522.843505859375,2555.4882692504475,2504.7074265576402,2536.709437039322,438317
2022-12-15,2544.423095703125,2556.3148089639103,2511.135355851281,2514.7165678420765,299314
2022-12-16,2502.18212890625,2541.4844400689285,2495.1111743915053,2520.7773493016525,271086
2022-12-19,2553.376708984375,2557.4170627827534,2487.6735435567316,2502.1824535983287,276490
2022-12-20,2545.984130859375,2562.5591744359795,2519.216062094372,2543.642465700953,234062
2022-12-21,2532.117919921875,2569.400277406651,2513.3390884867567,2545.9840747188864,328455
2022-12-22,2504.799072265625,2568.0229105989733,2495.249024163345,2531.8884053867737,483991
2022-12-23,2421.373046875,2497.728139098256,2413.84295180951,2493.1367270778546,328855
2022-12-26,2466.7822265625,2477.5260865475457,2398.1865713763814,2428.8571159815633,175951
2022-12-27,2481.52099609375,2496.1215993005944,2466.0478450921537,2474.725570552451,181947
2022-12-28,2476.24072265625,2503.9268508413643,2465.588555793184,2467.9761800111332,225857
2022-12-29,2499.74853515625,2520.6854206466273,2453.145699055042,2471.649225636848,243791
2022-12-30,2515.037841796875,2538.913184205237,2500.391058159714,2512.28299459591,211762
2023-01-02,2493.96337890625,2524.909678841249,2488.545601773986,2515.038141860042,131296
2023-01-03,2498.095703125,2516.002212447019,2481.199394261277,2481.38300592913,136701
2023-01-04,2487.90283203125,2505.074670011867,2477.296624275848,2485.790737434796,178937
2023-01-05,2541.025390625,2544.652785938311,2481.199374003352,2486.6171512061624,258988
2023-01-06,2518.435546875,2548.5552556997422,2510.3546165771354,2540.8875076612467,162618
2023-01-09,2527.43505859375,2545.84644431401,2516.323750096021,2531.704982762423,110658
2023-01-10,2490.427978515625,2532.668971472676,2468.067711046034,2525.2767528671816,206381
2023-01-11,2473.62353515625,2497.728451276102,2464.716239561404,2490.4741090532025,150551
2023-01-12,2474.08251953125,2479.638173256025,2445.3861926368077,2470.179819073606,163626
2023-01-13,2505.48779296875,2520.5934949583952,2464.027428585885,2464.027428585885,196440
2023-01-16,2533.174072265625,2539.0509903067696,2488.5454552373762,2508.7476692651335,362194
2023-01-17,2540.749755859375,2542.723973349376,2506.6354300813823,2539.050843738182,254062
2023-01-18,2543.596435546875,2558.6564022883153,2522.935080356832,2540.7956292275476,159791
2023-01-19,2543.229248046875,2552.5956843602175,2526.746122623436,2536.296170591931,140565
2023-01-20,2522.01708984375,2541.346982552672,2506.314592595683,2541.346982552672,300399
2023-01-23,2547.86669921875,2582.2103748411096,2525.3228191380813,2526.6083249545095,434312
2023-01-24,2545.38720703125,2559.2533626477075,2536.5258704605776,2550.0705375215944,129633
2023-01-25,2557.416748046875,2564.763008005358,2539.969380645478,2551.9070530780127,356744
2023-01-27,2512.558349609375,2580.465513806961,2492.7695428434704,2560.1713826828477,464092
2023-01-30,2481.47509765625,2539.005412472338,2462.0075515089043,2500.5294614744707,459196
2023-01-31,2537.444091796875,2545.4790635885056,2465.2212635972733,2501.8146863285474,579601
2023-02-01,2504.385986328125,2592.17388434331,2456.4516839349244,2548.7390765927216,408279
2023-02-02,2443.503662109375,2491.4839205464,2419.307053851817,2469.2615298977885,453723
2023-02-03,2437.351318359375,2464.807875351503,2406.8643842882675,2455.7629272675035,328028
2023-02-06,2474.77099609375,2483.770208190279,2428.9487953411626,2435.3308129977204,252416
2023-02-07,2435.8359375,2474.5874092035647,2401.354389199055,2466.5064793995425,421543
2023-02-08,2400.9873046875,2467.379175816789,2380.2342542197594,2441.7591831480504,793670
2023-02-09,2350.068359375,2400.390281577371,2340.7938413091006,2400.390281577371,1266011
2023-02-10,2372.19921875,2378.030178090467,2341.895896356513,2350.0685209017615,283858
2023-02-13,2352.2265625,2389.3710444677995,2346.257726301291,2381.9788255683093,327921
2023-02-14,2334.733154296875,2366.505817085452,2328.810277268528,2364.0262750916777,409279
2023-02-15,2361.82275390625,2364.5776015974316,2329.6828641757998,2337.029124685617,643367
2023-02-16,2347.77294921875,2378.3518029518605,2338.406512052862,2378.3518029518605,433077
2023-02-17,2389.090087890625,2392.435076671549,2348.950682596394,2348.950682596394,705628
2023-02-20,2381.45751953125,2397.5227108404933,2368.548915062012,2393.2826431655935,182493
2023-02-21,2374.95654296875,2397.9942015694623,2371.1404354615133,2393.28301453298,203273
2023-02-22,2355.0751953125,2388.2419053889416,2350.8822849402313,2362.1891336052745,310260
2023-02-23,2351.353759765625,2367.466113569024,2339.387389123738,2356.1121053072043,294710
2023-02-24,2342.072509765625,2363.6498861693126,2338.068000459178,2351.824759739057,255112
2023-02-27,2296.75048828125,2344.2863122301674,2289.636550932197,2342.071962644978,293892
2023-02-28,2279.366455078125,2329.210718652036,2271.121878302961,2306.549864479474,542868
2023-03-01,2290.67333984375,2302.780951906913,2274.8437061747127,2275.5032263195853,293122
2023-03-02,2321.060546875,2339.8581366374856,2299.907133619182,2302.357042827656,525446
2023-03-03,2319.3642578125,2335.6178511393196,2315.0770321157165,2332.696823511603,197868
2023-03-06,2336.466064453125,2347.820071275044,2319.034672331689,2329.210882388646,203422
2023-03-08,2334.911376953125,2337.690931206246,2299.624633209228,2315.0772341691845,286894
2023-03-09,2302.6396484375,2347.160362577286,2299.0591005519086,2342.40201802133,244591
2023-03-10,2299.34228515625,2302.640116503633,2266.363971682415,2277.3881047502623,224485
2023-03-13,2249.167724609375,2300.849305516093,2242.524905247911,2300.849305516093,249618
2023-03-14,2236.353515625,2272.2056979827807,2231.5951703119763,2256.6116215784023,302570
2023-03-15,2242.0068359375,2268.766517320265,2233.1498959957908,2261.369861383282,217071
2023-03-16,2233.997802734375,2255.7164216404803,2228.391535998219,2232.5372887009803,577586
2023-03-17,2219.110107421875,2238.331886558444,2194.282292339948,2237.813610030545,628419
2023-03-20,2204.22314453125,2220.3352659811335,2170.91496056451,2219.1103113585464,352432
2023-03-21,2213.362548828125,2220.2409270426924,2196.355119760949,2209.499283929444,291142
2023-03-22,2217.27294921875,2232.395905125034,2210.488886113044,2213.3627561201506,166790
2023-03-23,2226.0361328125,2246.152995805892,2220.8538264715608,2228.391726603836,371585
2023-03-24,2179.72509765625,2241.300177009991,2171.0094012410177,2226.507095048041,272040
2023-03-27,2175.249267578125,2196.260976735924,2163.8952613497313,2185.9435236218837,238881
2023-03-28,2119.56298828125,2175.2493095064087,2116.265157448183,2168.0882133963796,456838
2023-03-29,2171.05615234375,2181.7506385493734,2120.0340905791795,2120.0340905791795,712847
2023-03-31,2211.7607421875,2220.758924062654,2181.043715247392,2181.043715247392,302919
2023-04-03,2290.67333984375,2293.876854855085,2235.03417768113,2247.2361054957396,787785
2023-04-05,2291.709716796875,2300.519728342802,2279.366545103319,2299.813050305592,289012
2023-04-06,2286.291748046875,2297.3630367938676,2271.0747070185007,2291.7096127528503,211340
2023-04-10,2318.51611328125,2325.300405851641,2277.5287908540854,2289.6366321381606,261131
2023-04-11,2327.18505859375,2335.6651949174966,2306.644237935213,2331.095251660998,575155
2023-04-12,2334.20458984375,2341.459771296423,2307.7276287847517,2332.0373979712863,464883
2023-04-13,2305.7021484375,2334.2048306869438,2297.174853690723,2334.2048306869438,458472
2023-04-17,2323.51025390625,2326.3841239633834,2279.743372996925,2289.6368656261734,656224
2023-04-18,2298.776611328125,2331.9904807264475,2284.925767118639,2328.221531007489,397381
2023-04-19,2304.66552734375,2310.4604253889297,2281.2510659278228,2294.348073799851,247426
2023-04-20,2307.115478515625,2320.024085149444,2291.3801596245416,2308.481676765616,315314
2023-04-21,2317.291748046875,2333.356712423361,2307.115537652199,2309.3768155005987,699932
2023-04-24,2356.582763671875,2378.207064786558,2302.262642572382,2317.8567166792,686216
2023-04-25,2353.4736328125,2387.629740985637,2349.7989987071815,2360.2105386850653,538138
2023-04-26,2360.446044921875,2378.207312787506,2348.102872407095,2365.0159885485896,560280
2023-04-27,2363.74365234375,2380.892556262605,2352.813837031514,2355.593391225477,685268
2023-04-28,2410.80859375,2418.7232955338086,2369.868196555673,2374.438139752707,721370
2023-05-02,2351.72998046875,2393.2355794604946,2323.557177269048,2393.2355794604946,997629
2023-05-03,2358.09033203125,2372.553768105565,2335.712193829301,2346.1711209622144,863935
2023-05-04,2369.255859375,2386.451691323138,2359.645084239067,2363.0841586133265,684323
2023-05-05,2400.114013671875,2414.0120141436228,2367.4184246714444,2390.45608114066,1527593
2023-05-08,2427.533447265625,2442.279370741031,2417.7811980406964,2417.7811980406964,855245
2023-05-09,2441.855224609375,2453.5860334852914,2426.496709958908,2437.9919594998123,556418
2023-05-10,2436.673095703125,2453.727454770026,2423.528929865235,2449.817261541015,549062
2023-05-11,2436.107666015625,2453.5862159812423,2426.3084889656343,2449.817266340718,506829
2023-05-12,2455.376220703125,2463.008435260807,2436.8141908980165,2445.105925593647,718178
2023-05-15,2536.40869140625,2562.8856535929276,2455.4705931114595,2475.257577936993,1383562
2023-05-16,2530.849609375,2560.5772448003245,2525.7144616481,2543.9937748530865,602177
2023-05-17,2565.665283203125,2606.6054522394943,2527.4575106123225,2533.629211592127,1169727
2023-05-18,2577.16015625,2599.773850547705,2566.88986210515,2586.4884431708397,610410
2023-05-19,2556.2900390625,2585.5465560295993,2513.1355205929412,2582.3428108805533,458137
2023-05-22,2536.644287109375,2564.7701651013335,2526.2327480231525,2553.9815930375967,241924
2023-05-23,2553.88720703125,2561.1423886973475,2519.589859134198,2536.6442173313335,224454
2023-05-24,2580.505615234375,2586.2061977194107,2549.694497141352,2554.405684312714,402069
2023-05-25,2574.946533203125,2599.6331082304637,2552.568393906107,2580.741201468872,208718
2023-05-26,2586.5830078125,2591.05863563764,2556.855600709953,2576.501113245662,167210
